loss,metric,n,mean,ci_lo,ci_hi,p,p_holm,p_fdr,scope,model
ccc,pearson,251,0.04383099393963702,0.03373636124456244,0.05552820593497845,1.2276198415320456e-13,3.682859524596137e-13,3.682859524596137e-13,pooled,
hybrid,pearson,251,0.04122125370580075,0.030930217985482816,0.052403597855500285,2.214234227174287e-11,4.428468454348574e-11,3.321351340761431e-11,pooled,
pearson,pearson,251,0.03842259948524027,0.028216733196783382,0.04969038795764173,1.178803539090635e-08,1.178803539090635e-08,1.178803539090635e-08,pooled,
ccc,pearson,101,0.05543497977772229,0.03953884249726003,0.07482245146890187,4.7834794097008505e-08,2.87008764582051e-07,1.0762828671826914e-07,per_model,cnn
ccc,pearson,101,0.0003978646266198869,-0.003827877255328361,0.0035500320426311185,0.17486113679313786,0.17486113679313786,0.17486113679313786,per_model,mlp
ccc,pearson,49,0.10943800395939451,0.07569596720554905,0.14303449330833634,1.3052385838818736e-09,1.0441908671054989e-08,5.873573627468431e-09,per_model,transformer
hybrid,pearson,101,0.05075105233431132,0.03306175778770479,0.07333637064990225,0.0004291962702022057,0.0018159014866246858,0.0006437944053033085,per_model,cnn
hybrid,pearson,101,0.004403004396561271,0.00138064553254104,0.007681684043693347,0.0003631802973249372,0.0018159014866246858,0.0006437944053033085,per_model,mlp
hybrid,pearson,49,0.0974688765375073,0.06573005421449428,0.12729488121120722,2.6237607642087823e-09,1.8366325349461476e-08,7.871282292626347e-09,per_model,transformer
pearson,pearson,101,0.04403180227650674,0.02633975014286181,0.06577484434060415,0.005976513526149946,0.017929540578449837,0.007684088819335645,per_model,cnn
pearson,pearson,101,0.0026521984779479106,-0.0003705269601685441,0.005537086286378273,0.023122144983515017,0.04624428996703003,0.026012413106454396,per_model,mlp
pearson,pearson,49,0.10059159988970183,0.07058392599900987,0.13095279846223432,6.264251339871407e-10,5.6378262058842665e-09,5.6378262058842665e-09,per_model,transformer
ccc,spearman,251,0.042814794110686616,0.033623661767888495,0.05404583882653321,9.255585828933448e-14,2.7766757486800343e-13,2.7766757486800343e-13,pooled,
hybrid,spearman,251,0.04075128602008464,0.03142711623745702,0.05138240673934351,5.856591286265221e-12,1.1713182572530441e-11,8.784886929397832e-12,pooled,
pearson,spearman,251,0.03702115182775137,0.02775504862113933,0.04754840026453841,4.302391689027416e-09,4.302391689027416e-09,4.302391689027416e-09,pooled,
ccc,spearman,101,0.05531292327356972,0.039517246749468396,0.07352597928205303,2.004409925027508e-08,1.2026459550165048e-07,4.509922331311893e-08,per_model,cnn
ccc,spearman,101,0.0008186612634981965,-0.002046177724793079,0.0038898400480168105,0.31516933307368145,0.31516933307368145,0.31516933307368145,per_model,mlp
ccc,spearman,49,0.10361680170486694,0.07604403868454604,0.13316883085455566,1.2675016591856547e-10,8.872511614299583e-10,3.802504977556964e-10,per_model,transformer
hybrid,spearman,101,0.05040332851046786,0.033191620108963885,0.07202911312067524,0.00015121130138228913,0.0007560565069114457,0.00027218034248812045,per_model,cnn
hybrid,spearman,101,0.0049888678989610195,0.002019640991979229,0.008728718670779274,0.0007270566743650264,0.0029082266974601056,0.0010905850115475397,per_model,mlp
hybrid,spearman,49,0.09457063170793728,0.07045672754151924,0.12030671978108388,5.261213686935662e-11,4.735092318242096e-10,3.063309605977338e-10,per_model,transformer
pearson,spearman,101,0.04276080476151992,0.025348566460303448,0.0639931232089649,0.005557957247374312,0.016673871742122936,0.007145945032338401,per_model,cnn
pearson,spearman,101,0.003167109150583795,0.0002442261037187487,0.0062315396809162794,0.011778632962320804,0.023557265924641607,0.013250962082610904,per_model,mlp
pearson,spearman,49,0.09497122048251261,0.07129868723751223,0.12156319301308882,6.80735467994964e-11,5.445883743959712e-10,3.063309605977338e-10,per_model,transformer
ccc,rmse,251,-0.05651862050909846,-0.13310010842889855,-0.026965568985061063,2.0952270722309135e-09,6.285681216692741e-09,6.285681216692741e-09,pooled,
hybrid,rmse,251,0.006328291091464033,-0.041484212325895185,0.09689958291315706,7.64442216305259e-05,0.0001528884432610518,0.00011466633244578886,pooled,
pearson,rmse,251,-0.009916053512230495,-0.05487462207707924,0.07859769717653345,0.004879186580202871,0.004879186580202871,0.004879186580202871,pooled,
ccc,rmse,101,-0.03824685867025547,-0.06982721500561573,-0.0032914089361298915,0.00012480092621141244,0.0007488055572684746,0.000280802083975678,per_model,cnn
ccc,rmse,101,-0.03941467337495541,-0.2503717174173878,0.01923528908206137,0.30388033762834255,0.9116410128850276,0.39070329123644043,per_model,mlp
ccc,rmse,49,-0.12943589818811055,-0.21852984126985664,-0.07441579653027211,1.814797201404872e-10,1.6333174812643847e-09,1.6333174812643847e-09,per_model,transformer
