loss,metric,n,mean,ci_lo,ci_hi,p,p_holm,p_fdr,scope,model
hybrid,rmse,101,0.07956422774861571,-0.023623006547995862,0.32627310109604873,0.6244781970862716,0.9116410128850276,0.6244781970862716,per_model,cnn
hybrid,rmse,101,-0.006078118923500735,-0.038887261968404085,0.014375247806600894,0.04295853372031027,0.17183413488124108,0.06443780058046542,per_model,mlp
hybrid,rmse,49,-0.11905501892610487,-0.24748242981810037,-0.06088030102905626,9.57367518594765e-10,7.65894014875812e-09,4.3081538336764424e-09,per_model,transformer
pearson,rmse,101,0.0646008454288427,-0.019216456257472904,0.3401899191538049,0.40178358548267734,0.9116410128850276,0.452006533668012,per_model,cnn
pearson,rmse,101,-0.045581223273398266,-0.2639754006877573,-0.004971736647698333,0.014793116820754054,0.07396558410377027,0.026627610277357296,per_model,mlp
pearson,rmse,49,-0.0899981891687703,-0.1534344371984877,-0.05048343383868456,4.523108358966965e-07,3.1661758512768756e-06,1.3569325076900896e-06,per_model,transformer
ccc,r2,251,0.024751558264919458,0.01873573489351279,0.031207674828060004,9.928494898059134e-13,2.9785484694177405e-12,2.9785484694177405e-12,pooled,
hybrid,r2,251,0.016792670173228986,0.006442548134423357,0.024220756367946704,7.054623066720935e-06,1.410924613344187e-05,1.0581934600081404e-05,pooled,
pearson,r2,251,0.01473163161806319,0.00533187936660978,0.02223739461051874,0.00171625229187561,0.00171625229187561,0.00171625229187561,pooled,
ccc,r2,101,0.0246514622713597,0.016480270456542042,0.034344782689638934,1.281339034341304e-06,7.688034206047823e-06,2.883012827267934e-06,per_model,cnn
ccc,r2,101,0.002398426165316322,-0.0007347226548706443,0.005804034452936375,0.1892809492031895,0.757123796812758,0.28392142380478425,per_model,mlp
ccc,r2,49,0.07103270188552051,0.051830567020197046,0.0917908698480916,4.616040882865491e-11,4.154436794578942e-10,4.154436794578942e-10,per_model,transformer
hybrid,r2,101,0.009717470024506087,-0.014750471872708717,0.02459021240985426,0.23110020781538088,0.757123796812758,0.2971288386197754,per_model,cnn
hybrid,r2,101,0.0027735442519236553,0.00032437194745905474,0.005549197165826591,0.03675473561017634,0.18377367805088168,0.0661585240983174,per_model,mlp
hybrid,r2,49,0.0602728116645117,0.043931083947205685,0.08049201798828377,3.232401013519848e-10,2.5859208108158782e-09,1.3553531630350335e-09,per_model,transformer
pearson,r2,101,0.004902427116815474,-0.01600105142513269,0.019622963603563245,0.8270375583558321,0.8270375583558321,0.8270375583558321,per_model,cnn
pearson,r2,101,0.0007886277653990741,-0.0025514793558632162,0.003916730079236217,0.323399494866639,0.757123796812758,0.36382443172496887,per_model,mlp
pearson,r2,49,0.06373148965367736,0.04699050115583746,0.08257380470859532,4.517843876783445e-10,3.1624907137484115e-09,1.3553531630350335e-09,per_model,transformer
ccc,ndcg@10,251,0.017257061692918692,0.012646568612176187,0.02219566474784735,2.0143822774390862e-10,6.043146832317259e-10,6.043146832317259e-10,pooled,
hybrid,ndcg@10,251,0.01726697715078491,0.012684494711379885,0.022126003742011527,3.413140715130149e-09,6.826281430260298e-09,5.119711072695224e-09,pooled,
pearson,ndcg@10,251,0.01613228733321483,0.01125929779618098,0.02145185069634285,2.031727158874495e-07,2.031727158874495e-07,2.031727158874495e-07,pooled,
ccc,ndcg@10,101,0.02706590896206084,0.019089831335485273,0.03548026713124461,1.58528974789501e-07,1.426760773105509e-06,1.4267607731055091e-06,per_model,cnn
ccc,ndcg@10,101,0.0010616248413296478,-0.0030160033146921796,0.005292022763767742,0.5012998798873158,0.5012998798873158,0.5012998798873158,per_model,mlp
ccc,ndcg@10,49,0.03042125654653372,0.01700844849475934,0.0423987883093386,8.919835998710823e-07,7.135868798968659e-06,4.0139261994198705e-06,per_model,transformer
hybrid,ndcg@10,101,0.024844396991017724,0.016718179559127726,0.03472839599033218,0.00014514367483742572,0.0007257183741871285,0.0002612586147073663,per_model,cnn
hybrid,ndcg@10,101,0.004973436337779107,0.0015740409916953214,0.008977068757434205,0.044645235425910444,0.13393570627773133,0.05740101697617057,per_model,mlp
hybrid,ndcg@10,49,0.026987961196704754,0.014156732349820692,0.03936502815504111,2.996636634833294e-06,1.7979819808999764e-05,6.7424324283749115e-06,per_model,transformer
pearson,ndcg@10,101,0.023377351124306372,0.014905095586601245,0.033435435844682095,0.0004936393579732447,0.001974557431892979,0.0007404590369598671,per_model,cnn
pearson,ndcg@10,101,0.0025953744527208215,-0.0013779180254287929,0.006400170863053232,0.14104028207608632,0.28208056415217264,0.1586703173355971,per_model,mlp
pearson,ndcg@10,49,0.029101200762391345,0.016910263290107103,0.04659300468989325,1.5036543068447372e-06,1.052558014791316e-05,4.510962920534212e-06,per_model,transformer
ccc,overlap@10,251,0.01697592265086469,0.01125782578659658,0.023279964883372188,1.2230743859469753e-06,2.4461487718939507e-06,1.8346115789204631e-06,pooled,
hybrid,overlap@10,251,0.017812905517779937,0.01202096371447546,0.02403609656206805,1.0655332171138326e-07,3.1965996513414977e-07,3.1965996513414977e-07,pooled,
pearson,overlap@10,251,0.014219616063463362,0.007872642758272042,0.020581931048103415,0.0006050305863632141,0.0006050305863632141,0.0006050305863632141,pooled,
ccc,overlap@10,101,0.025373770391672868,0.015129395206389278,0.036312585116311406,2.7426609033213613e-05,0.0002194128722657089,0.00012341974064946127,per_model,cnn
ccc,overlap@10,101,0.0009239286905439774,-0.005846746675782611,0.008341046770044014,0.9919733552039979,1.0,0.9919733552039979,per_model,mlp
ccc,overlap@10,49,0.03275283628700276,0.01847864443201928,0.04603684260761284,7.537403115924906e-05,0.0005276182181147435,0.0002261220934777472,per_model,transformer
hybrid,overlap@10,101,0.02422581275383741,0.013392636438949904,0.036137545086703485,0.0007812648205313798,0.003906324102656899,0.0014062766769564834,per_model,cnn
hybrid,overlap@10,101,0.004853233189063218,-0.001643553734505398,0.011534086134617608,0.18902441038117646,0.5670732311435294,0.2430313847757983,per_model,mlp
hybrid,overlap@10,49,0.031307258055710246,0.016968765510038335,0.043141831720886425,1.359498193309289e-05,0.000122354837397836,0.00012235483739783602,per_model,transformer
pearson,overlap@10,101,0.018731328109565015,0.007622326238891862,0.03067566742702504,0.031129337745382544,0.12451735098153018,0.04669400661807382,per_model,cnn
pearson,overlap@10,101,0.0014571936714258742,-0.00540476277519532,0.008516286365226385,0.5250665136271,1.0,0.5906998278304876,per_model,mlp
pearson,overlap@10,49,0.031226182286718862,0.015926220771135736,0.04745962779077785,0.00027735348454335155,0.0016641209072601093,0.000624045340222541,per_model,transformer
ccc,releff@10,251,0.03960615572786158,0.028503847043762933,0.05139810875154486,7.866310645986519e-10,2.3598931937959556e-09,2.3598931937959556e-09,pooled,
hybrid,releff@10,251,0.03921447260663459,0.028574618003078294,0.050899872346233374,2.056302462356533e-08,4.112604924713066e-08,3.0844536935348e-08,pooled,
pearson,releff@10,251,0.03834464427514409,0.027530901610519166,0.05051559805927725,1.273604870701864e-07,1.273604870701864e-07,1.273604870701864e-07,pooled,
ccc,releff@10,101,0.06219020179009448,0.04302614037152042,0.08286129975832235,2.0854693132086445e-07,1.4598285192460512e-06,6.256407939625934e-07,per_model,cnn
ccc,releff@10,101,-0.000562217862189569,-0.01190350475685683,0.009124701106817436,0.6278155248427884,0.6278155248427884,0.6278155248427884,per_model,mlp
ccc,releff@10,49,0.07585140226479305,0.04779904081867067,0.10549029485107637,1.5036543068447372e-06,9.021925841068423e-06,3.3832221904006587e-06,per_model,transformer
hybrid,releff@10,101,0.05597824778285287,0.03577618675036915,0.08162392235364228,0.0010985583360229624,0.00439423334409185,0.0016478375040344436,per_model,cnn
hybrid,releff@10,101,0.007879767362122569,-0.0012144316326810902,0.01625742690333055,0.10461306570522193,0.20922613141044386,0.11768969891837468,per_model,mlp
hybrid,releff@10,49,0.06924843050250536,0.04600905792906031,0.09343466300488652,9.77353344921994e-08,8.796180104297946e-07,5.959486504281131e-07,per_model,transformer
pearson,releff@10,101,0.05319379074167209,0.0328023038986572,0.07732875985714097,0.000832059514022304,0.00416029757011152,0.001497707125240147,per_model,cnn
pearson,releff@10,101,0.006187014252935585,-0.003019723556246719,0.015095513564886144,0.052475138087962746,0.15742541426388823,0.06746803468452353,per_model,mlp
pearson,releff@10,49,0.07402131446134269,0.049199457003265,0.10380877141786007,1.3243303342846957e-07,1.0594642674277566e-06,5.959486504281131e-07,per_model,transformer
ccc,seldiff@10,251,0.3972524625582793,0.19813595222666014,0.7862647726964073,1.3300580050514254e-09,3.990174015154276e-09,3.990174015154276e-09,pooled,
hybrid,seldiff@10,251,0.16573282063862624,-0.1975554352066687,0.3923549688423376,6.10965594841176e-07,1.221931189682352e-06,9.16448392261764e-07,pooled,
pearson,seldiff@10,251,0.2516320916756221,0.018821900835532812,0.6117545514514215,2.3663824765888762e-06,2.3663824765888762e-06,2.3663824765888762e-06,pooled,
ccc,seldiff@10,101,0.40238722528567805,0.08206495510884,0.8598619632822999,4.114916212666894e-06,2.8804413488668256e-05,1.2344748638000681e-05,per_model,cnn
ccc,seldiff@10,101,0.3210652738294167,0.04231731998713222,1.790722907308468,0.0663479749390851,0.15617358041672857,0.07464147180647075,per_model,mlp
ccc,seldiff@10,49,0.543707463091909,0.22527261323645337,1.372342048340648,1.9885533330210592e-05,0.00011931319998126355,4.474244999297383e-05,per_model,transformer
hybrid,seldiff@10,101,0.12469079695394958,-0.813989188925153,0.607417800503637,0.008611291937011831,0.043056459685059154,0.015500325486621296,per_model,cnn
hybrid,seldiff@10,101,0.11230088034694449,-0.06806734349538399,0.4428784287028591,0.1083403464685038,0.15617358041672857,0.1083403464685038,per_model,mlp
hybrid,seldiff@10,49,0.3604648688347938,0.18817409209981162,0.722646312389614,2.7203373775819273e-08,2.4483036398237346e-07,2.4483036398237346e-07,per_model,transformer
pearson,seldiff@10,101,0.13798558501360494,-0.637649260375095,0.4273668268136032,0.01950294492480137,0.07801177969920547,0.029254417387202053,per_model,cnn
pearson,seldiff@10,101,0.30242361012650876,-0.009843039514062332,1.7536690643018056,0.05205786013890953,0.15617358041672857,0.06693153446431224,per_model,mlp
pearson,seldiff@10,49,0.381190332682238,0.1809772115703529,0.8803080217579756,3.216748071292807e-06,2.5733984570342456e-05,1.2344748638000681e-05,per_model,transformer
